Data,Età,Infected,Removed
2021-06-21,20-39,0.23513757269605165,0.2437978234336758
2021-06-21,40-59,0.31915177202873635,0.3349369869135683
2021-06-21,60-79,0.20820948902839423,0.18942805654743053
2021-06-21,80-89,0.0632127989479343,0.05977177925493578
2021-06-21,90+,0.020130530786694568,0.02074067497597138
2021-06-22,0-19,0.1536798579743365,0.15136406992378312
2021-06-22,20-39,0.23504348412323872,0.2438197745287899
2021-06-22,40-59,0.3189689655947325,0.33492969847137655
2021-06-22,60-79,0.20848558394570665,0.18941171369880627
2021-06-22,80-89,0.06352951751724757,0.05974707994749437
2021-06-22,90+,0.020292590844738084,0.020727663429749802
2021-06-23,0-19,0.152454272147453,0.15145553703577588
2021-06-23,20-39,0.2357852640648853,0.243783128685073
2021-06-23,40-59,0.31892894271023575,0.33488437178593033
2021-06-23,60-79,0.20761803077557062,0.18948054420646002
2021-06-23,80-89,0.0644825939141918,0.05969638055678312
2021-06-23,90+,0.02073089638766355,0.020700037729977635
2021-06-24,0-19,0.15177881721805972,0.1514995739769051
2021-06-24,20-39,0.23564174379534716,0.2438041639753083
2021-06-24,40-59,0.31931510679538033,0.3348601126906208
2021-06-24,60-79,0.2076668988820488,0.1894686494931306
2021-06-24,80-89,0.06481178706323366,0.05967502049405765
2021-06-24,90+,0.020785646245930305,0.020692479369977528
2021-06-25,0-19,0.15132039695282015,0.15153579856387253
2021-06-25,20-39,0.23571813110114864,0.24382122399721404
2021-06-25,40-59,0.3193154803024312,0.3348469538077682
2021-06-25,60-79,0.2078047060729208,0.18944978232707854
2021-06-25,80-89,0.06499792757469068,0.05965968112697955
2021-06-25,90+,0.02084335799598855,0.020686560177087143
2021-06-26,0-19,0.1506143441773476,0.15158215713479972
2021-06-26,20-39,0.23583682401654318,0.24382963926053394
2021-06-26,40-59,0.319073350140029,0.33484738975944583
2021-06-26,60-79,0.20808649503270557,0.18942976466438843
2021-06-26,80-89,0.06542078599420603,0.05963404694806802
2021-06-26,90+,0.0209682006391686,0.02067700223276404
2021-06-27,0-19,0.15050595929107655,0.15160439488509717
2021-06-27,20-39,0.23568705982509094,0.24385369160331385
2021-06-27,40-59,0.3189671852023837,0.3348337835097096
2021-06-27,60-79,0.2082704512034672,0.18941301198988206
2021-06-27,80-89,0.06556671310270103,0.059622129536743965
2021-06-27,90+,0.02100263137528055,0.020672988475253357
2021-06-28,0-19,0.15006412997007268,0.15163497050961194
2021-06-28,20-39,0.2359059815772086,0.24385817252285946
2021-06-28,40-59,0.3188619845310739,0.3348273081142063
2021-06-28,60-79,0.20840782774301372,0.1893982315185059
2021-06-28,80-89,0.06570406933810098,0.059613261777195524
2021-06-28,90+,0.02105600684053014,0.02066805555762088
2021-06-29,0-19,0.14964841138551777,0.15167084161323802
2021-06-29,20-39,0.23613286682574772,0.24385643667257212
2021-06-29,40-59,0.3188452473319768,0.33481791476964873
2021-06-29,60-79,0.20847423716738156,0.1893860809403676
2021-06-29,80-89,0.06574048319645533,0.05960689023503492
2021-06-29,90+,0.021158754092920895,0.020661835769138628
2021-06-30,0-19,0.148010094930787,0.1517651486006292
2021-06-30,20-39,0.2363913151226716,0.24385738572472662
2021-06-30,40-59,0.3186579204240276,0.33478558211432125
2021-06-30,60-79,0.209125898352746,0.18936776863182192
2021-06-30,80-89,0.06638580235986709,0.059577721229551406
2021-06-30,90+,0.02142896880990072,0.020646393698949595
2021-07-01,0-19,0.1475372924289333,0.15179626952677686
2021-07-01,20-39,0.23611288795640048,0.24389024264604334
2021-07-01,40-59,0.3185630581071054,0.33477534617573007
2021-07-01,60-79,0.20956426067599723,0.18933941564632523
2021-07-01,80-89,0.06669395901031139,0.059559742196762855
2021-07-01,90+,0.021528541821252207,0.020638983808361683
2021-07-02,0-19,0.14718978365508498,0.1518340599708028
2021-07-02,20-39,0.23597468589274487,0.24391832094395047
2021-07-02,40-59,0.318549592356294,0.33475533026611326
2021-07-02,60-79,0.2098154007895198,0.1893153178602683
2021-07-02,80-89,0.06687212046876449,0.05954509267837847
2021-07-02,90+,0.021598416837591863,0.02063187828048667
2021-07-03,0-19,0.1465128261175038,0.15187915706679145
2021-07-03,20-39,0.23577781594300198,0.24394171370358744
2021-07-03,40-59,0.3184593045949195,0.3347409859886243
2021-07-03,60-79,0.21027130270053657,0.18928930322180698
2021-07-03,80-89,0.06725579894559894,0.05952440885498414
2021-07-03,90+,0.021722951698439217,0.02062443116420574
2021-07-04,0-19,0.14636466259720712,0.1519034803608386
